"From","Improvement","Direct","Alternative","Improvement_percent","id","title","location","state","country","state_abbv","continent","latitude","longitude"
"Shanghai",67.9535659233177,248.221840962441,180.268275039124,25.9667794020334,180,"Shanghai","Shanghai","Shanghai","China","SH",3,31.2,121.5
"Hangzhou",63.9084010592031,253.127149515993,189.21874845679,23.8912110531807,84,"Hangzhou","Hangzhou","Zhejiang","China","ZJ",3,30.25,120.1667
"Manila",63.2682333867628,255.676866935484,192.408633548721,23.4647767620471,112,"Manila","Manila","National Capital Region","Philippines","",3,14.5833,120.9667
"Zhangjiakou",62.9291370523416,247.028554516456,184.099417464115,23.659054006544,261,"Zhangjiakou","Zhangjiakou","Hebei","China","HE",3,40.7675,114.8863
"Shenzhen",58.3985424454829,257.696183216511,199.297640771028,21.2497915642969,221,"Shenzhen","Shenzhen","Guangdong","China","GD",3,22.5431,114.0579
"Chennai",57.0482594794806,247.356411716172,190.308152236691,21.5264953900382,85,"Chennai","Chennai","Tamil Nadu","India","TN",3,13.081,80.274
"Dagupan",56.2987797181965,246.897393333333,190.598613615137,21.5109130908493,165,"Dagupan","Dagupan","Ilocos Region","Philippines","",3,16.0333,120.3333
"Bangalore",54.0470917760459,235.368085888365,181.320994112319,21.4334283901477,222,"Bangalore","Bangalore","Karnataka","India","KA",3,12.9716,77.5946
"Indore",52.7683142841458,236.45046233165,183.682148047504,20.1123642296552,155,"Indore","Indore","Madhya Pradesh","India","MP",3,22.7253,75.8655
"Hanoi",52.0473471846613,261.826350677831,209.77900349317,18.9882758876503,65,"Hanoi","Hanoi","Hanoi","Vietnam","",3,21.0409,105.7981
