To,From,Direct,Alternative,Improvement,Alternative_path,Improvement_abs,Year,country.x,country.y,Improvement_percent
Hangzhou,Manila,354.8437917,62.60720833,292.2365833,"111, 71, 94, 83",NA,2025,Philippines,Philippines,82.35640307
Manila,Hangzhou,354.5598333,62.95216667,291.6076667,"83, 94, 71, 111",NA,2025,China,China,82.24498075
Shenzhen,HongKong,346.909,67.01495833,279.8940417,"71, 94, 169, 206",NA,2025,Hong Kong,Hong Kong,80.68226586
HongKong,Shenzhen,346.8352917,67.60275,279.2325417,"206, 169, 94, 71",NA,2025,China,China,80.50868766
Zhangjiakou,Manila,357.4309167,80.54083333,276.8900833,"111, 71, 94, 241",NA,2025,Philippines,Philippines,77.46674124
Shanghai,Jakarta,355.6525833,80.62854167,275.0240417,"56, 31, 71, 94, 169",NA,2025,Indonesia,Indonesia,77.32940925
Manila,Palermo,469.0283333,195.3060833,273.72225,"182, 36, 31, 158, 111",NA,2025,Italy,Italy,58.35942747
Jakarta,Shanghai,355.9497083,82.2865,273.6632083,"169, 94, 71, 31, 56",NA,2025,China,China,76.88254883
Manila,Zhangjiakou,353.284875,80.43733333,272.8475417,"241, 94, 71, 111",NA,2025,China,China,77.23159438
Hangzhou,HongKong,316.6545,45.71454167,270.9399583,"71, 94, 83",NA,2025,Hong Kong,Hong Kong,85.56327427
HongKong,Hangzhou,316.2412083,45.9,270.3412083,"83, 94, 71",NA,2025,China,China,85.48576252
HongKong,Zhangjiakou,333.5763333,63.38516667,270.1911667,"241, 94, 71",NA,2025,China,China,80.99830224
Zhangjiakou,HongKong,333.74175,63.64816667,270.0935833,"71, 94, 241",NA,2025,Hong Kong,Hong Kong,80.92891684
Palermo,Manila,467.1529167,199.0333333,268.1195833,"111, 158, 31, 36, 182",NA,2025,Philippines,Philippines,57.39439352
Hangzhou,Jakarta,353.0331667,88.53954167,264.493625,"56, 31, 71, 94, 83",NA,2025,Indonesia,Indonesia,74.92033326
Zhangjiakou,Hyderabad,408.8717917,144.57575,264.2960417,"55, 31, 71, 94, 241",NA,2025,India,India,64.64032175
Shenzhen,Manila,347.9642083,83.907625,264.0565833,"111, 71, 94, 169, 206",NA,2025,Philippines,Philippines,75.8861334
Perth,Shenzhen,385.3764167,121.4985417,263.877875,"206, 217, 31, 162",NA,2025,China,China,68.47276159
Shenzhen,Perth,384.00525,120.756875,263.248375,"162, 31, 217, 206",NA,2025,Australia,Australia,68.55332707
Jakarta,Hangzhou,353.5013333,90.37191667,263.1294167,"83, 94, 71, 31, 56",NA,2025,China,China,74.43519779
